ID,LONGDISTANCE,INTERNATIONAL,LOCAL,DROPPED,PAYMETHOD,LOCALBILLTYPE,LONGDISTANCEBILLTYPE,USAGE,RATEPLAN,GENDER,STATUS,CHILDREN,ESTINCOME,CAROWNER,AGE,CHURN,CREDITCARD
1,23,0,206,0,CC,Budget,Intnl_discount,229,3,F,S,1,38000,N,24.393333,T,2862 3231 6181 8612
6,29,0,45,0,CH,FreeLocal,Standard,75,2,M,M,2,29616,N,49.426667,F,4014 8586 4873 3013
8,24,0,22,0,CC,FreeLocal,Standard,47,3,M,M,0,19732.8,N,50.673333,F,0084 5669 2155 5142
11,26,0,32,1,CC,Budget,Standard,59,1,M,S,2,96.33,N,56.473333,F,4643 3268 2147 1385
17,12,0,46,4,CC,FreeLocal,Standard,58,1,M,M,2,53010.8,N,18.84,F,2846 6375 7413 7545
21,20,0,13,0,CC,Budget,Standard,34,3,M,M,0,19749.3,N,60.366667,F,4662 8378 3765 3637
22,9,0,38,0,CC,Budget,Standard,48,2,M,S,1,57626.9,Y,43.906667,F,5444 8867 1898 4077
24,17,4,49,1,Auto,FreeLocal,Standard,72,2,F,M,2,47902,N,26.033333,F,4073 5337 0386 1554
29,22,0,178,0,CC,Budget,Standard,200,3,M,M,1,7545.96,Y,16.753333,T,1705 6725 1377 1628
35,0,0,28,0,CC,FreeLocal,Standard,29,4,F,S,0,78851.3,N,48.373333,T,4521 4143 7291 7144
36,22,0,13,0,Auto,Budget,Standard,36,4,F,S,1,17540.7,Y,62.786667,T,1959 1753 1216 7694
38,26,0,12,0,CC,FreeLocal,Standard,38,4,F,M,2,28220.8,N,38.766667,T,8265 0726 2298 1946
40,13,0,87,0,CC,FreeLocal,Standard,100,4,F,S,0,28589.1,N,15.6,T,3742 3378 4118 7288
42,13,8,56,0,CC,Budget,Standard,78,2,F,M,2,5237.63,N,48.753333,F,8654 5136 6676 5345
45,11,1,22,0,CC,FreeLocal,Standard,36,2,M,S,2,89459.9,N,53.28,T,4773 7327 8694 2437
48,14,0,25,0,CC,Budget,Standard,40,1,F,S,1,13576.5,N,39.426667,T,1029 1234 8523 3827
52,4,0,91,1,CC,Budget,Standard,96,3,F,M,2,67388,N,53.12,T,9488 3288 0483 0321
53,16,0,81,0,CH,Budget,Standard,98,4,F,M,1,57063,Y,52.333333,F,2340 5412 6288 4823
54,3,0,11,1,CC,Budget,Standard,15,2,F,M,2,84166.1,N,54.013333,T,5339 7460 6710 7239
60,11,0,50,0,CC,FreeLocal,Standard,61,4,F,S,1,7737.94,N,42.666667,T,8441 3676 4815 4103
63,12,0,163,0,CC,Budget,Intnl_discount,175,1,F,M,2,59613.1,N,34.32,T,5571 1155 1153 1255
68,18,0,59,0,CC,FreeLocal,Standard,77,3,F,S,2,9559.78,N,51.38,T,7514 2998 8454 1774
73,26,0,9,0,Auto,FreeLocal,Intnl_discount,35,4,F,M,2,83284.1,Y,28.42,F,6848 2466 5342 5684
77,9,4,111,0,Auto,Budget,Intnl_discount,125,4,M,S,0,3601.71,N,49.266667,T,3454 5187 1797 6056
